teams,hid,hypothesis,timestamp,uid,tid,balance,investment,p_initial,p_new,shares
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:13:44,URUAQGH3,192,73,10,.77100003,.79299998,12.79
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:15:03,URUAQGH3,200,8,5,.79299998,.80299997,6.2680001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:34:27,Z92KUH4F,240,50,15,.80299997,.82999998,18.365999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:36:35,Z92KUH4F,244,15,5,.82999998,.838,5.993
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:39:10,TM41ZSHI,254,100,15,.838,.861,17.648001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:41:38,Z92KUH4F,267,.027000001,-10,.861,.84600002,11.713
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:51:44,E3BL2V48,278,65,-10,.84600002,.76599997,52.148998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-02 18:57:43,Z92KUH4F,281,15.027,7,.76599997,.78200001,9.0459995
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 02:51:26,OV6XZ01M,403,100,9,.78200001,.80000001,11.376
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 02:52:52,OV6XZ01M,410,31,1,.80000001,.80199999,1.248
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 08:15:36,RG8NXWOZ,483,100,8,.80199999,.81800002,9.875
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 08:18:39,RG8NXWOZ,499,44,2,.81800002,.82099998,2.441
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 09:06:24,V0JJDTMJ,515,20,20,.82099998,.85399997,23.870001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 09:15:14,I5MM4SP4,520,80,10,.85399997,.86799997,11.618
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 09:35:23,RG8NXWOZ,540,32,6,.86799997,.875,6.8850002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 09:36:24,RG8NXWOZ,541,26,3,.875,.87900001,3.4200001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 09:36:51,RG8NXWOZ,542,23,2,.87900001,.88099998,2.2720001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 10:01:57,TL46PFWK,545,100,20,.88099998,.903,22.410999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 10:15:22,2JVEZQBI,568,76,-10,.903,.81699997,73.367996
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 13:55:56,5PZZHA8S,620,100,10,.81699997,.83399999,12.11
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 14:06:46,R3Z3KKN9,639,100,5,.83399999,.84200001,5.9640002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 14:35:42,364DM9BK,648,100,1,.84200001,.84399998,1.186
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 14:38:17,364DM9BK,661,64,9,.84399998,.85699999,10.578
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 14:39:21,1V1VYW62,663,84,10,.85699999,.87099999,11.57
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 15:54:57,DHBRH9ZM,678,92,-5,.87099999,.829,33.466
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 17:05:30,EU8JCEPT,705,83.999001,-2,.829,.81199998,11.137
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 17:14:00,EU8JCEPT,731,35.999001,-2,.81199998,.796,10.213
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 17:34:51,Z92KUH4F,739,.027000001,-7,.796,.78100002,8.875
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 18:18:01,VV2LJBKR,749,95,5,.78100002,.792,6.3559999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-03 18:21:06,Z92KUH4F,758,.027000001,-10,.792,.76999998,12.802
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 02:08:23,WFKSIG5N,830,100,80,.76999998,.89700001,95.224998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 12:07:25,UHD180K9,839,100,1,.89700001,.898,1.115
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 12:07:40,UHD180K9,840,99,1,.898,.89899999,1.113
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 12:08:43,UHD180K9,841,98,8,.89899999,.90700001,8.8629999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 12:16:24,UHD180K9,855,15,5,.90700001,.91100001,5.5019999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 17:05:27,WFKSIG5N,866,0,-15,.91100001,.89700001,16.591999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 17:48:16,DHBRH9ZM,874,0,5,.89700001,.92500001,35.647999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 17:56:28,E3BL2V48,877,35,-5,.92500001,.88,52.279999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-04 19:10:14,364DM9BK,880,43.001999,5,.88,.88599998,5.6620002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-05 20:09:39,EU8JCEPT,904,30.999001,-2,.88599998,.86900002,16.322001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-05 20:10:17,EU8JCEPT,905,28.999001,-1,.86900002,.86000001,7.3649998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-05 22:24:13,BLRDNJ4Q,932,.68699998,-10,.86000001,.84500003,11.729
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 06:42:17,NF615CCR,938,50,20,.84500003,.87300003,23.268
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 08:30:07,D4IHJE9D,987,100,5,.87300003,.87900001,5.7059999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 08:30:56,I5MM4SP4,992,17,7,.87900001,.88800001,7.9229999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 08:38:04,D4IHJE9D,1001,45,15,.88800001,.903,16.75
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 08:39:28,RG8NXWOZ,1005,8,-1,.903,.90200001,1.108
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 08:40:09,KHM6JTTQ,1008,100,10,.90200001,.912,11.026
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 09:28:32,2JVEZQBI,1044,47,-10,.912,.82499999,78.338997
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 10:40:30,UHD180K9,1106,9.4329996,5,.82499999,.833,6.0310001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 10:44:49,UHD180K9,1110,19.433001,5,.833,.84100002,5.9710002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 10:45:51,UHD180K9,1112,9.4329996,5,.84100002,.84899998,5.915
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 11:29:10,E6S8LAPB,1123,100,15,.84899998,.87,17.443001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 11:51:59,6V3Y1K5G,1166,30,10,.87,.88300002,11.409
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 12:05:53,ZEMG9K2L,1178,20,20,.88300002,.90399998,22.384001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 12:51:57,83PROBG5,1193,100,1,.90399998,.90499997,1.1059999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:14:35,WP5DYPCV,1199,100,10,.90499997,.91399997,10.996
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:20:36,WP5DYPCV,1211,0,-10,.91399997,.90499997,10.999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:20:40,WP5DYPCV,1212,10,-10,.90499997,.81900001,74.418999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:27:39,VV2LJBKR,1226,40,4,.81900001,.82599998,4.8649998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:47:19,Y8W2S5P6,1291,70,10,.82599998,.84200001,11.987
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 13:47:24,Y8W2S5P6,1292,60,10,.84200001,.85699999,11.765
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 14:04:52,E3BL2V48,1323,30,-5,.85699999,.81599998,30.712
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 14:09:28,8ULWSME4,1327,30,10,.81599998,.833,12.129
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 14:30:46,P8BW1VHY,1355,100,25,.833,.87,29.336
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 14:38:44,364DM9BK,1368,16.951,3,.87,.87400001,3.441
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 15:38:50,DYW9BUWN,1391,9,9,.87400001,.88499999,10.235
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 16:31:59,ZIAKNSK8,1413,100,-1,.88499999,.87599999,8.3590002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 16:32:15,ZIAKNSK8,1414,99,1,.87599999,.88499999,8.3590002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 16:58:29,ZIAKNSK8,1446,91.921997,1,.88499999,.88599998,1.13
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 17:15:12,JI6K9ZCK,1479,70,20,.88599998,.90700001,22.308001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 17:17:26,JI6K9ZCK,1483,10,5,.90700001,.91100001,5.5009999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 17:51:56,ZIAKNSK8,1492,36.922001,-1,.91100001,.91000003,1.098
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 17:52:45,ZIAKNSK8,1494,36.922001,-1,.91000003,.90100002,10.346
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 19:16:04,L01GI8P4,1525,20,10,.90100002,.91100001,11.035
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-06 19:39:58,E3BL2V48,1527,25,-5,.91100001,.866,45.407001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 08:36:08,6V3Y1K5G,1642,10,5,.866,.87300003,5.7490001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:15:04,G63TPB93,1659,100,40,.87300003,.91500002,44.688999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:39:50,WP5DYPCV,1663,0,5,.91500002,.958,74.864998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:40:07,WP5DYPCV,1664,4.151,-4,.958,.91900003,68.834999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:40:35,WP5DYPCV,1665,.5,4,.91900003,.95700002,66.620003
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:40:57,WP5DYPCV,1666,4.5,-4,.95700002,.91500002,72.652
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:50:36,R3Z3KKN9,1668,15,-10,.91500002,.86900002,47.726002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:50:54,R3Z3KKN9,1669,15.883,-10,.86900002,.787,59.098
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:51:03,R3Z3KKN9,1670,5.8829999,10,.787,.86900002,59.098
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 11:51:31,R3Z3KKN9,1671,15.883,10,.86900002,.91500002,47.726002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 12:32:06,6V3Y1K5G,1676,9.1129999,9,.91500002,.92199999,9.7980003
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 13:59:25,DYW9BUWN,1700,.77200001,-10,.92199999,.90899998,17.042
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 15:14:37,WASM5XE4,1713,85,5,.90899998,.91299999,5.487
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 15:32:44,E3BL2V48,1717,10,-5,.91299999,.86900002,46.507
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 15:34:49,GXR63Y25,1722,20,10,.86900002,.88099998,11.426
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 15:42:20,DYW9BUWN,1725,.56999999,2,.88099998,.88999999,8.1750002
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 16:33:51,LJ4L9U3A,1726,100,4,.88999999,.89399999,4.4850001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 16:34:09,LJ4L9U3A,1727,96,-1,.89399999,.89300001,1.119
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 16:34:23,LJ4L9U3A,1728,97,7,.89300001,.89999998,7.8080001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 16:43:53,LJ4L9U3A,1739,25,15,.89999998,.91399997,16.534
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 18:33:16,XKQGDLEU,1744,100,-2,.91399997,.89600003,21.108999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 18:38:02,XKQGDLEU,1753,72,-3,.89600003,.86900002,25.671
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-07 22:46:12,2U8NXHFY,1820,45,10,.86900002,.88200003,11.419
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-08 15:56:22,ZBKIBDAL,1862,20,-20,.88200003,.722,105.588
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-08 16:09:11,IR60FUG4,1869,70,25,.722,.78399998,33.173
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-08 17:49:09,XKQGDLEU,1887,64,4,.78399998,.815,19.982
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-08 19:57:10,TM62SE1G,1912,100,25,.815,.85600001,29.882999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-09 07:54:25,LJ4L9U3A,1956,0,-10,.85600001,.84100002,11.781
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-09 11:58:49,VEH4PKX3,1975,100,10,.84100002,.85600001,11.781
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-10 19:02:27,LJ4L9U3A,2115,2,-5,.85600001,.84899998,5.8639998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 07:20:10,XKQGDLEU,2190,66,-3,.84899998,.824,18.365999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 11:40:39,FZSDNX6M,2200,80,10,.824,.84100002,12.014
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 12:24:51,SKW3DNG0,2203,15,-15,.84100002,.72399998,70.078003
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 12:37:46,364DM9BK,2207,5.5110002,-1,.72399998,.72100002,1.385
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 12:54:17,BA0YUVWQ,2220,50,10,.72100002,.74699998,13.621
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 13:08:11,S32PZ1TC,2239,40,10,.74699998,.77100003,13.167
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 13:09:29,S32PZ1TC,2243,20,10,.77100003,.79299998,12.782
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 14:05:26,F06ZTWZI,2252,100,1,.79299998,.79500002,1.2589999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 14:35:37,SKW3DNG0,2261,0,10,.79500002,.88700002,70.078003
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 14:36:48,WFKSIG5N,2266,0,-20,.88700002,.86199999,22.871
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 14:39:42,WFKSIG5N,2268,0,-10,.86199999,.847,11.704
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 20:35:53,RA4XN3BC,2327,100,5,.847,.85399997,5.8769999
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 21:00:52,RA4XN3BC,2355,27,3,.85399997,.85900003,3.5020001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 21:02:56,RA4XN3BC,2360,12,2,.85900003,.86199999,2.325
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 21:37:42,EU8JCEPT,2372,1.999,-1,.86199999,.85299999,7.0089998
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-11 21:57:46,UG9MPR9Z,2378,85,-5,.85299999,.81099999,29.922001
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-12 04:27:51,XKQGDLEU,2395,59.763,2,.81099999,.82800001,11.093
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-12 15:48:22,Z92KUH4F,2448,46.973,-20,.82800001,.67799997,82.638
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-12 15:48:27,Z92KUH4F,2449,26.997999,10,.67799997,.74900001,35.007
Non-Team,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2019-05-12 15:48:48,Z92KUH4F,2451,33.153,-3,.74900001,.727,11.456
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:04:28,BLRDNJ4Q,37,20,20,.5,.59100002,36.659
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:04:41,UAA2SLBL,40,85,10,.59100002,.63,16.386999
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:11:31,CA0FXXX5,62,98,5,.63,.648,7.829
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:13:35,CA0FXXX5,69,79,10,.648,.68099999,15.048
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:30:32,BLRDNJ4Q,98,10,10,.68099999,.71200001,14.358
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 16:59:34,EC6JRZIK,146,20,5,.71200001,.72600001,6.9580002
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 17:11:39,CA0FXXX5,158,30,3,.72600001,.73400003,4.1110001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 17:15:07,CA0FXXX5,159,27,3,.73400003,.74199998,4.0669999
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 17:19:38,CA0FXXX5,168,18,3,.74199998,.74900001,4.0250001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 17:26:27,CA0FXXX5,174,6,3,.74900001,.75700003,3.984
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:12:08,URUAQGH3,188,91,5,.75700003,.76800001,6.5570002
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:13:54,URUAQGH3,193,63,10,.76800001,.79100001,12.826
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:14:59,URUAQGH3,199,13,5,.79100001,.801,6.2839999
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:34:33,Z92KUH4F,241,35,15,.801,.82800001,18.407
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:36:28,Z92KUH4F,243,20,5,.82800001,.83700001,6.0050001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:39:20,TM41ZSHI,255,85,15,.83700001,.86000001,17.679001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:44:22,Z92KUH4F,271,.027000001,-10,.86000001,.84500003,11.733
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:52:57,E3BL2V48,279,55,-10,.84500003,.764,51.743999
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-02 18:57:50,Z92KUH4F,282,8.0270004,8,.764,.78299999,10.342
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 02:53:03,OV6XZ01M,411,30,10,.78299999,.80299997,12.61
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 08:15:51,RG8NXWOZ,485,92,8,.80299997,.81800002,9.8660002
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 08:18:45,RG8NXWOZ,500,42,4,.81800002,.82499999,4.8670001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 09:15:28,I5MM4SP4,521,70,10,.82499999,.84200001,11.992
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 10:02:37,TL46PFWK,547,60,20,.84200001,.87099999,23.343
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 10:15:15,2JVEZQBI,566,86,-10,.87099999,.78799999,59.523998
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 13:57:27,5PZZHA8S,626,55,3,.78799999,.79400003,3.793
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 14:07:17,R3Z3KKN9,640,95,5,.79400003,.80400002,6.256
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 14:35:52,364DM9BK,649,99,1,.80400002,.80599999,1.242
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 14:38:11,364DM9BK,660,73,9,.80599999,.82300001,11.049
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 15:55:01,DHBRH9ZM,679,87,-5,.82300001,.78299999,25.413
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 17:05:40,EU8JCEPT,707,81.999001,-4,.78299999,.75199997,17.209
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 18:17:43,VV2LJBKR,747,100,-5,.75199997,.71499997,18.791
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-03 21:51:52,DHBRH9ZM,811,10,5,.71499997,.75199997,18.791
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-04 12:09:05,UHD180K9,842,90,10,.75199997,.77600002,13.09
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-04 12:13:06,UHD180K9,850,40,5,.77600002,.787,6.401
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-04 12:17:17,UHD180K9,857,5,5,.787,.79699999,6.3150001
Non-Team,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2019-05-04 17:48:35,DHBRH9ZM,875,.96600002,3,.79699999,.81099999,8.7110004
