teams,uid,hid,hypothesis,shares
Non-Team,1XER09KC,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,1XER09KC,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,1XER09KC,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,1XER09KC,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,1XER09KC,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,1XER09KC,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,2JVEZQBI,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",-151.707
Non-Team,2JVEZQBI,2,"Positive Effect of Gains in VMPFC, Equal Range Group",-96.438004
Non-Team,2JVEZQBI,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",-227.575
Non-Team,2JVEZQBI,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-44.953999
Non-Team,2JVEZQBI,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-8.1960001
Non-Team,2JVEZQBI,6,"Negative Effect of Losses in VMPFC, Equal Range Group",.417
Non-Team,2JVEZQBI,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-19.357
Non-Team,2JVEZQBI,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-19.212
Non-Team,2JVEZQBI,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",79.625
Non-Team,2U8NXHFY,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",11.419
Non-Team,2U8NXHFY,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.759
Non-Team,2U8NXHFY,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",11.26
Non-Team,2U8NXHFY,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",11.168
Non-Team,2U8NXHFY,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,2U8NXHFY,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,2U8NXHFY,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",13.434
Non-Team,2U8NXHFY,8,"Positive Effect of Losses in Amygdala, Equal Range Group",12.738
Non-Team,2U8NXHFY,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-62.294998
Non-Team,364DM9BK,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",19.482
Non-Team,364DM9BK,2,"Positive Effect of Gains in VMPFC, Equal Range Group",18.122999
Non-Team,364DM9BK,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",20.702999
Non-Team,364DM9BK,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",19.177999
Non-Team,364DM9BK,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",11.175
Non-Team,364DM9BK,6,"Negative Effect of Losses in VMPFC, Equal Range Group",7.2740002
Non-Team,364DM9BK,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",10.673
Non-Team,364DM9BK,8,"Positive Effect of Losses in Amygdala, Equal Range Group",3.802
Non-Team,364DM9BK,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-4.5970001
Non-Team,3LN6SQ0E,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,3LN6SQ0E,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,3LN6SQ0E,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,3LN6SQ0E,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,3LN6SQ0E,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,3LN6SQ0E,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,3LN6SQ0E,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,3LN6SQ0E,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,3LN6SQ0E,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,3N5PS9K6,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,3N5PS9K6,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,3N5PS9K6,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,3N5PS9K6,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,3N5PS9K6,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,3N5PS9K6,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,3N5PS9K6,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,3N5PS9K6,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,3N5PS9K6,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,42VN23UZ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,42VN23UZ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,42VN23UZ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,42VN23UZ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,42VN23UZ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,42VN23UZ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,42VN23UZ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,42VN23UZ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,42VN23UZ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,5PZZHA8S,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",12.11
Non-Team,5PZZHA8S,2,"Positive Effect of Gains in VMPFC, Equal Range Group",3.793
Non-Team,5PZZHA8S,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",37.409
Non-Team,5PZZHA8S,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",32.007
Non-Team,5PZZHA8S,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",7.9850001
Non-Team,5PZZHA8S,6,"Negative Effect of Losses in VMPFC, Equal Range Group",7.072
Non-Team,5PZZHA8S,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",9.6359997
Non-Team,5PZZHA8S,8,"Positive Effect of Losses in Amygdala, Equal Range Group",8.7180004
Non-Team,5PZZHA8S,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",6.8340001
Non-Team,5V8F6GKM,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,5V8F6GKM,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.988
Non-Team,5V8F6GKM,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",21.924
Non-Team,5V8F6GKM,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",11.166
Non-Team,5V8F6GKM,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",15.148
Non-Team,5V8F6GKM,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,5V8F6GKM,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",29.361
Non-Team,5V8F6GKM,8,"Positive Effect of Losses in Amygdala, Equal Range Group",13.796
Non-Team,5V8F6GKM,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",38.231998
Non-Team,6S3ZTPAR,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,6S3ZTPAR,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,6S3ZTPAR,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,6S3ZTPAR,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,6S3ZTPAR,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,6S3ZTPAR,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,6S3ZTPAR,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,6S3ZTPAR,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,6S3ZTPAR,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,6V3Y1K5G,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",26.955999
Non-Team,6V3Y1K5G,2,"Positive Effect of Gains in VMPFC, Equal Range Group",17.322001
Non-Team,6V3Y1K5G,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",28.157
Non-Team,6V3Y1K5G,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",33.32
Non-Team,6V3Y1K5G,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,6V3Y1K5G,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,6V3Y1K5G,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-3.2479999
Non-Team,6V3Y1K5G,8,"Positive Effect of Losses in Amygdala, Equal Range Group",7.6760001
Non-Team,6V3Y1K5G,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,83PROBG5,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",1.1059999
Non-Team,83PROBG5,2,"Positive Effect of Gains in VMPFC, Equal Range Group",1.108
Non-Team,83PROBG5,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",1.071
Non-Team,83PROBG5,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,83PROBG5,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,83PROBG5,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,83PROBG5,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,83PROBG5,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,83PROBG5,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,894SMERP,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,894SMERP,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,894SMERP,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,894SMERP,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,894SMERP,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-20.988001
Non-Team,894SMERP,6,"Negative Effect of Losses in VMPFC, Equal Range Group",-14.444
Non-Team,894SMERP,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-61.874001
Non-Team,894SMERP,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-63.330002
Non-Team,894SMERP,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-81.725998
Non-Team,8ULWSME4,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",12.129
Non-Team,8ULWSME4,2,"Positive Effect of Gains in VMPFC, Equal Range Group",12.276
Non-Team,8ULWSME4,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",11.831
Non-Team,8ULWSME4,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",23.913
Non-Team,8ULWSME4,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,8ULWSME4,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,8ULWSME4,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",29.737
Non-Team,8ULWSME4,8,"Positive Effect of Losses in Amygdala, Equal Range Group",48.601002
Non-Team,8ULWSME4,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,926IQYO8,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,926IQYO8,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,926IQYO8,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,926IQYO8,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,926IQYO8,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,926IQYO8,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,926IQYO8,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,926IQYO8,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,926IQYO8,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,9AYQDDKK,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,9AYQDDKK,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,9AYQDDKK,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,9AYQDDKK,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,9AYQDDKK,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,9AYQDDKK,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,9AYQDDKK,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,9AYQDDKK,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,9AYQDDKK,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,A96TLPDJ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,A96TLPDJ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,A96TLPDJ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",64.801003
Non-Team,A96TLPDJ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",62.219002
Non-Team,A96TLPDJ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,A96TLPDJ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,A96TLPDJ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,A96TLPDJ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,A96TLPDJ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,AAGIC15M,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,AAGIC15M,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,AAGIC15M,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",77.078003
Non-Team,AAGIC15M,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",28.768
Non-Team,AAGIC15M,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,AAGIC15M,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,AAGIC15M,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,AAGIC15M,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,AAGIC15M,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,ABL13TE8,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,ABL13TE8,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,ABL13TE8,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",107.082
Non-Team,ABL13TE8,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,ABL13TE8,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,ABL13TE8,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,ABL13TE8,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,ABL13TE8,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,ABL13TE8,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,AIEVHSAI,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,AIEVHSAI,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,AIEVHSAI,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,AIEVHSAI,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,AIEVHSAI,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,AIEVHSAI,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,AIEVHSAI,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,AIEVHSAI,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,AIEVHSAI,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,BA0YUVWQ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",13.621
Non-Team,BA0YUVWQ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",12.001
Non-Team,BA0YUVWQ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",26.643999
Non-Team,BA0YUVWQ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",26.951
Non-Team,BA0YUVWQ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",13.123
Non-Team,BA0YUVWQ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",14.274
Non-Team,BA0YUVWQ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,BA0YUVWQ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,BA0YUVWQ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",30.507
Non-Team,BLRDNJ4Q,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",35.34
Non-Team,BLRDNJ4Q,2,"Positive Effect of Gains in VMPFC, Equal Range Group",51.016998
Non-Team,BLRDNJ4Q,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",36.659
Non-Team,BLRDNJ4Q,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",48.535999
Non-Team,BLRDNJ4Q,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,BLRDNJ4Q,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,BLRDNJ4Q,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,BLRDNJ4Q,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,BLRDNJ4Q,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-.38100001
Non-Team,BMXU9JL0,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,BMXU9JL0,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,BMXU9JL0,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,BMXU9JL0,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,BMXU9JL0,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,BMXU9JL0,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,BMXU9JL0,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,BMXU9JL0,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,BMXU9JL0,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,BRWOVLTJ,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,BRWOVLTJ,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,BRWOVLTJ,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,BRWOVLTJ,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,BRWOVLTJ,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,BRWOVLTJ,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,BRWOVLTJ,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,BRWOVLTJ,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,BRWOVLTJ,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,CA0FXXX5,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",24.983999
Non-Team,CA0FXXX5,2,"Positive Effect of Gains in VMPFC, Equal Range Group",39.063999
Non-Team,CA0FXXX5,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",22.296
Non-Team,CA0FXXX5,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",27.780001
Non-Team,CA0FXXX5,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",10.332
Non-Team,CA0FXXX5,6,"Negative Effect of Losses in VMPFC, Equal Range Group",10.7
Non-Team,CA0FXXX5,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",.296
Non-Team,CA0FXXX5,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-1.045
Non-Team,CA0FXXX5,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",-3.5769999
Non-Team,D2S8B02R,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,D2S8B02R,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,D2S8B02R,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,D2S8B02R,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,D2S8B02R,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,D2S8B02R,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,D2S8B02R,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,D2S8B02R,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,D2S8B02R,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,D4IHJE9D,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",22.455999
Non-Team,D4IHJE9D,2,"Positive Effect of Gains in VMPFC, Equal Range Group",11.541
Non-Team,D4IHJE9D,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",33.993
Non-Team,D4IHJE9D,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,D4IHJE9D,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",32.269001
Non-Team,D4IHJE9D,6,"Negative Effect of Losses in VMPFC, Equal Range Group",35.366001
Non-Team,D4IHJE9D,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",0
Non-Team,D4IHJE9D,8,"Positive Effect of Losses in Amygdala, Equal Range Group",0
Non-Team,D4IHJE9D,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",0
Non-Team,DG6FS9PS,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",0
Non-Team,DG6FS9PS,2,"Positive Effect of Gains in VMPFC, Equal Range Group",0
Non-Team,DG6FS9PS,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",0
Non-Team,DG6FS9PS,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",0
Non-Team,DG6FS9PS,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",0
Non-Team,DG6FS9PS,6,"Negative Effect of Losses in VMPFC, Equal Range Group",0
Non-Team,DG6FS9PS,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",49.888
Non-Team,DG6FS9PS,8,"Positive Effect of Losses in Amygdala, Equal Range Group",47.597
Non-Team,DG6FS9PS,9,"Greater Positive Effect of Losses in Amygdala, Equal Range vs. Equal Indifference",112.743
Non-Team,DHBRH9ZM,1,"Positive Effect of Gains in VMPFC, Equal Indifference Group",2.1819999
Non-Team,DHBRH9ZM,2,"Positive Effect of Gains in VMPFC, Equal Range Group",2.089
Non-Team,DHBRH9ZM,3,"Positive Effect of Gains in Ventral Striatum, Equal Indifference Group",.0080000004
Non-Team,DHBRH9ZM,4,"Positive Effect of Gains in Ventral Striatum, Equal Range Group",-25.676001
Non-Team,DHBRH9ZM,5,"Negative Effect of Losses in VMPFC, Equal Indifference Group",-32.456001
Non-Team,DHBRH9ZM,6,"Negative Effect of Losses in VMPFC, Equal Range Group",-27.261
Non-Team,DHBRH9ZM,7,"Positive Effect of Losses in Amygdala, Equal Indifference Group",-35.519001
Non-Team,DHBRH9ZM,8,"Positive Effect of Losses in Amygdala, Equal Range Group",-29.511
