uid,hid,decision,confidence,similarity,teams
5FAFB4QZ,6,no,8,5,1
5FAFB4QZ,7,no,9,9,1
5FAFB4QZ,8,no,9,9,1
5FAFB4QZ,9,no,10,9,1
69XEK8LQ,1,yes,10,10,1
69XEK8LQ,2,no,9,9,1
69XEK8LQ,3,no,9,9,1
69XEK8LQ,4,yes,5,6,1
69XEK8LQ,5,yes,8,8,1
69XEK8LQ,6,no,8,7,1
69XEK8LQ,7,no,8,8,1
69XEK8LQ,8,no,9,8,1
69XEK8LQ,9,no,8,9,1
6O21BBUS,1,no,8,5,1
6O21BBUS,2,no,8,5,1
6O21BBUS,3,no,8,6,1
6O21BBUS,4,no,8,6,1
6O21BBUS,5,yes,8,8,1
6O21BBUS,6,no,8,5,1
6O21BBUS,7,no,8,8,1
6O21BBUS,8,no,8,8,1
6O21BBUS,9,no,8,8,1
83IXFCIX,1,no,2,3,1
83IXFCIX,2,no,2,3,1
83IXFCIX,3,no,3,4,1
83IXFCIX,4,no,4,5,1
83IXFCIX,5,yes,8,9,1
83IXFCIX,6,no,5,6,1
83IXFCIX,7,no,8,9,1
83IXFCIX,8,no,6,7,1
83IXFCIX,9,no,5,6,1
885QKCFS,1,no,4,4,1
885QKCFS,2,no,6,5,1
885QKCFS,3,no,7,7,1
885QKCFS,4,no,7,7,1
885QKCFS,5,no,7,5,1
885QKCFS,6,yes,7,6,1
885QKCFS,7,no,6,8,1
885QKCFS,8,no,8,8,1
885QKCFS,9,no,4,4,1
888C2CN9,1,no,4,6,1
888C2CN9,2,no,7,7,1
888C2CN9,3,no,7,7,1
888C2CN9,4,yes,6,5,1
888C2CN9,5,yes,8,8,1
888C2CN9,6,no,5,6,1
888C2CN9,7,no,8,5,1
888C2CN9,8,no,7,6,1
888C2CN9,9,no,1,2,1
8LCYG10D,1,yes,5,5,1
8LCYG10D,2,yes,9,9,1
8LCYG10D,3,no,2,7,1
8LCYG10D,4,yes,6,6,1
8LCYG10D,5,yes,9,9,1
8LCYG10D,6,yes,9,9,1
8LCYG10D,7,no,5,5,1
8LCYG10D,8,no,5,5,1
8LCYG10D,9,no,5,5,1
8TN3JNWP,1,no,8,6,1
8TN3JNWP,2,no,8,6,1
8TN3JNWP,3,no,8,6,1
8TN3JNWP,4,no,8,6,1
8TN3JNWP,5,yes,10,10,1
8TN3JNWP,6,no,8,6,1
8TN3JNWP,7,no,8,6,1
8TN3JNWP,8,no,8,6,1
8TN3JNWP,9,no,9,8,1
8UMQ8DHM,1,no,4,4,1
8UMQ8DHM,2,no,6,5,1
8UMQ8DHM,3,no,7,7,1
8UMQ8DHM,4,no,7,7,1
8UMQ8DHM,5,no,7,5,1
8UMQ8DHM,6,yes,7,6,1
8UMQ8DHM,7,no,6,8,1
8UMQ8DHM,8,no,8,8,1
8UMQ8DHM,9,no,4,4,1
90AR8Z38,1,no,8,8,1
90AR8Z38,2,no,8,8,1
90AR8Z38,3,no,1,1,1
90AR8Z38,4,no,1,1,1
90AR8Z38,5,yes,8,8,1
90AR8Z38,6,yes,8,8,1
90AR8Z38,7,no,5,5,1
90AR8Z38,8,no,5,5,1
90AR8Z38,9,no,5,5,1
99W5WBXT,1,no,8,8,1
99W5WBXT,2,no,8,8,1
99W5WBXT,3,no,8,8,1
99W5WBXT,4,yes,8,8,1
99W5WBXT,5,yes,8,8,1
99W5WBXT,6,no,8,8,1
99W5WBXT,7,no,6,5,1
99W5WBXT,8,no,6,5,1
99W5WBXT,9,no,7,6,1
A80M330E,1,no,6,6,1
A80M330E,2,no,6,6,1
A80M330E,3,no,8,8,1
A80M330E,4,no,8,8,1
A80M330E,5,no,5,5,1
A80M330E,6,no,5,5,1
A80M330E,7,no,8,8,1
A80M330E,8,no,8,8,1
A80M330E,9,no,7,8,1
AAXXAQ5M,1,no,3,3,1
AAXXAQ5M,2,no,3,3,1
AAXXAQ5M,3,no,3,3,1
AAXXAQ5M,4,no,3,3,1
AAXXAQ5M,5,yes,9,9,1
AAXXAQ5M,6,yes,9,9,1
AAXXAQ5M,7,no,9,9,1
AAXXAQ5M,8,no,9,9,1
AAXXAQ5M,9,no,9,9,1
AIPPUTFH,1,no,8,6,1
AIPPUTFH,2,no,8,9,1
AIPPUTFH,3,no,8,7,1
AIPPUTFH,4,no,6,5,1
AIPPUTFH,5,yes,9,9,1
AIPPUTFH,6,no,7,4,1
AIPPUTFH,7,no,8,8,1
AIPPUTFH,8,no,7,7,1
AIPPUTFH,9,no,6,5,1
AOAUJA04,1,no,5,5,1
AOAUJA04,2,no,9,5,1
AOAUJA04,3,no,5,5,1
AOAUJA04,4,no,8,5,1
AOAUJA04,5,yes,8,7,1
AOAUJA04,6,no,6,5,1
AOAUJA04,7,no,8,5,1
AOAUJA04,8,no,8,5,1
AOAUJA04,9,no,8,5,1
AV4QE5S4,1,yes,10,10,1
AV4QE5S4,2,no,9,9,1
AV4QE5S4,3,no,9,9,1
AV4QE5S4,4,yes,5,6,1
AV4QE5S4,5,yes,8,8,1
AV4QE5S4,6,no,8,7,1
AV4QE5S4,7,no,8,8,1
AV4QE5S4,8,no,9,8,1
AV4QE5S4,9,no,8,9,1
AWAO0KL9,1,yes,6,7,1
AWAO0KL9,2,no,7,7,1
AWAO0KL9,3,no,7,7,1
AWAO0KL9,4,yes,5,4,1
AWAO0KL9,5,yes,8,8,1
AWAO0KL9,6,no,8,8,1
AWAO0KL9,7,no,8,8,1
AWAO0KL9,8,no,8,8,1
AWAO0KL9,9,no,8,7,1
BSQKHZQE,1,no,7,6,1
BSQKHZQE,2,no,8,7,1
BSQKHZQE,3,no,8,8,1
BSQKHZQE,4,no,9,9,1
BSQKHZQE,5,yes,9,9,1
BSQKHZQE,6,no,8,8,1
BSQKHZQE,7,no,8,7,1
BSQKHZQE,8,no,6,7,1
BSQKHZQE,9,no,7,6,1
C5GDVGK0,1,no,5,3,1
C5GDVGK0,2,yes,5,6,1
C5GDVGK0,3,no,7,3,1
C5GDVGK0,4,yes,3,6,1
C5GDVGK0,5,yes,4,6,1
C5GDVGK0,6,yes,4,6,1
C5GDVGK0,7,no,7,5,1
C5GDVGK0,8,no,7,5,1
C5GDVGK0,9,no,7,5,1
CBWLOP91,1,no,7,8,1
CBWLOP91,2,no,9,10,1
CBWLOP91,3,yes,10,10,1
CBWLOP91,4,yes,9,9,1
CBWLOP91,5,no,7,8,1
CBWLOP91,6,no,8,9,1
CBWLOP91,7,no,10,9,1
CBWLOP91,8,no,10,9,1
CBWLOP91,9,no,9,8,1
CC5QAWVO,1,no,8,6,1
CC5QAWVO,2,no,8,9,1
CC5QAWVO,3,no,8,7,1
CC5QAWVO,4,no,6,5,1
CC5QAWVO,5,yes,9,9,1
CC5QAWVO,6,no,7,4,1
CC5QAWVO,7,no,8,8,1
CC5QAWVO,8,no,7,7,1
CC5QAWVO,9,no,6,5,1
CN95SKJL,1,no,7,9,1
CN95SKJL,2,no,7,8,1
CN95SKJL,3,no,8,8,1
CN95SKJL,4,no,8,8,1
CN95SKJL,5,yes,8,8,1
CN95SKJL,6,no,7,8,1
CN95SKJL,7,no,10,10,1
CN95SKJL,8,no,10,10,1
CN95SKJL,9,no,9,8,1
CYVH9I2G,1,yes,9,8,1
CYVH9I2G,2,no,2,8,1
CYVH9I2G,3,no,8,8,1
CYVH9I2G,4,no,8,8,1
CYVH9I2G,5,yes,10,9,1
CYVH9I2G,6,no,8,7,1
CYVH9I2G,7,no,8,7,1
CYVH9I2G,8,no,9,7,1
CYVH9I2G,9,no,9,6,1
DNKD6X99,1,no,8,8,1
DNKD6X99,2,no,8,8,1
DNKD6X99,3,no,1,1,1
DNKD6X99,4,no,1,1,1
DNKD6X99,5,yes,8,8,1
DNKD6X99,6,yes,8,8,1
DNKD6X99,7,no,5,5,1
DNKD6X99,8,no,5,5,1
DNKD6X99,9,no,5,5,1
F3SUBJWJ,1,no,4,6,1
F3SUBJWJ,2,no,7,7,1
F3SUBJWJ,3,no,7,7,1
F3SUBJWJ,4,yes,6,5,1
F3SUBJWJ,5,yes,8,8,1
F3SUBJWJ,6,no,5,6,1
F3SUBJWJ,7,no,8,5,1
F3SUBJWJ,8,no,7,6,1
F3SUBJWJ,9,no,1,2,1
F6ZXD1UJ,1,no,3,7,1
F6ZXD1UJ,2,yes,7,7,1
F6ZXD1UJ,3,no,6,6,1
F6ZXD1UJ,4,no,6,6,1
F6ZXD1UJ,5,yes,8,7,1
F6ZXD1UJ,6,yes,8,7,1
F6ZXD1UJ,7,no,7,6,1
F6ZXD1UJ,8,no,7,6,1
F6ZXD1UJ,9,no,7,6,1
G5V0GGP4,1,no,10,8,1
G5V0GGP4,2,yes,6,5,1
G5V0GGP4,3,no,10,8,1
G5V0GGP4,4,no,10,8,1
G5V0GGP4,5,yes,10,8,1
G5V0GGP4,6,yes,6,5,1
G5V0GGP4,7,no,10,8,1
G5V0GGP4,8,no,10,8,1
G5V0GGP4,9,no,5,4,1
GB2NG08J,1,no,3,7,1
GB2NG08J,2,yes,7,7,1
GB2NG08J,3,no,6,6,1
GB2NG08J,4,no,6,6,1
GB2NG08J,5,yes,8,7,1
GB2NG08J,6,yes,8,7,1
GB2NG08J,7,no,7,6,1
GB2NG08J,8,no,7,6,1
GB2NG08J,9,no,7,6,1
GDXEMH9H,1,no,7,3,1
GDXEMH9H,2,no,7,3,1
GDXEMH9H,3,no,7,4,1
GDXEMH9H,4,no,7,4,1
GDXEMH9H,5,yes,7,3,1
GDXEMH9H,6,no,7,3,1
GDXEMH9H,7,no,7,5,1
GDXEMH9H,8,no,7,5,1
GDXEMH9H,9,no,7,5,1
GV3ZO0KL,1,yes,9,9,1
GV3ZO0KL,2,no,8,8,1
GV3ZO0KL,3,yes,5,4,1
GV3ZO0KL,4,no,8,7,1
GV3ZO0KL,5,yes,9,9,1
GV3ZO0KL,6,no,8,9,1
GV3ZO0KL,7,no,9,8,1
GV3ZO0KL,8,no,9,8,1
GV3ZO0KL,9,no,5,8,1
HHMH4BR5,1,no,3,5,1
HHMH4BR5,2,no,3,5,1
HHMH4BR5,3,no,5,3,1
HHMH4BR5,4,no,5,3,1
HHMH4BR5,5,yes,10,10,1
HHMH4BR5,6,yes,10,10,1
HHMH4BR5,7,no,10,6,1
HHMH4BR5,8,no,10,6,1
HHMH4BR5,9,no,10,2,1
IMCM6CSW,1,no,9,8,1
IMCM6CSW,2,no,8,7,1
IMCM6CSW,3,no,9,9,1
IMCM6CSW,4,no,7,5,1
IMCM6CSW,5,yes,9,9,1
IMCM6CSW,6,no,7,5,1
IMCM6CSW,7,no,9,9,1
IMCM6CSW,8,no,9,9,1
IMCM6CSW,9,no,9,9,1
IRDKYPME,1,no,7,7,1
IRDKYPME,2,no,7,7,1
IRDKYPME,3,no,7,7,1
IRDKYPME,4,no,7,7,1
IRDKYPME,5,no,7,7,1
IRDKYPME,6,no,7,7,1
IRDKYPME,7,no,7,7,1
IRDKYPME,8,no,7,7,1
IRDKYPME,9,no,7,7,1
IT9KV39Y,1,yes,8,8,1
IT9KV39Y,2,no,6,5,1
IT9KV39Y,3,yes,8,8,1
IT9KV39Y,4,no,6,5,1
IT9KV39Y,5,yes,7,8,1
IT9KV39Y,6,no,7,6,1
IT9KV39Y,7,no,7,6,1
IT9KV39Y,8,no,7,6,1
IT9KV39Y,9,no,6,5,1
JGRUV96H,1,no,2,3,1
JGRUV96H,2,no,2,3,1
JGRUV96H,3,no,3,4,1
JGRUV96H,4,no,4,5,1
JGRUV96H,5,yes,8,9,1
JGRUV96H,6,no,5,6,1
JGRUV96H,7,no,8,9,1
JGRUV96H,8,no,6,7,1
JGRUV96H,9,no,5,6,1
K4RY6M01,1,no,4,5,1
K4RY6M01,2,no,4,5,1
K4RY6M01,3,no,4,5,1
K4RY6M01,4,no,4,5,1
K4RY6M01,5,no,4,4,1
K4RY6M01,6,no,4,4,1
K4RY6M01,7,no,4,5,1
K4RY6M01,8,no,4,4,1
K4RY6M01,9,no,4,4,1
K8GUY08K,1,no,9,6,1
K8GUY08K,2,no,9,9,1
K8GUY08K,3,no,9,9,1
K8GUY08K,4,no,9,9,1
K8GUY08K,5,yes,9,9,1
K8GUY08K,6,yes,9,9,1
K8GUY08K,7,no,9,9,1
K8GUY08K,8,no,9,9,1
K8GUY08K,9,no,9,9,1
K8X023I3,1,yes,8,9,1
K8X023I3,2,yes,6,8,1
K8X023I3,3,no,4,7,1
K8X023I3,4,no,4,7,1
K8X023I3,5,yes,9,9,1
K8X023I3,6,no,5,9,1
K8X023I3,7,no,4,7,1
K8X023I3,8,no,4,7,1
K8X023I3,9,no,4,7,1
KBSQGAOR,1,yes,9,8,1
KBSQGAOR,2,no,2,8,1
KBSQGAOR,3,no,8,8,1
KBSQGAOR,4,no,8,8,1
KBSQGAOR,5,yes,10,9,1
KBSQGAOR,6,no,8,7,1
KBSQGAOR,7,no,8,7,1
KBSQGAOR,8,no,9,7,1
KBSQGAOR,9,no,9,6,1
KW8RZ5JT,1,no,3,7,1
KW8RZ5JT,2,yes,7,7,1
KW8RZ5JT,3,no,6,6,1
KW8RZ5JT,4,no,6,6,1
KW8RZ5JT,5,yes,8,7,1
KW8RZ5JT,6,yes,8,7,1
KW8RZ5JT,7,no,7,6,1
KW8RZ5JT,8,no,7,6,1
KW8RZ5JT,9,no,7,6,1
L2K2AHDZ,1,no,7,6,1
L2K2AHDZ,2,no,9,8,1
L2K2AHDZ,3,no,8,6,1
L2K2AHDZ,4,no,7,7,1
L2K2AHDZ,5,yes,8,9,1
L2K2AHDZ,6,no,8,7,1
L2K2AHDZ,7,no,9,8,1
L2K2AHDZ,8,no,9,8,1
L2K2AHDZ,9,no,6,5,1
LN19530Z,1,no,5,5,1
LN19530Z,2,no,5,5,1
LN19530Z,3,yes,6,5,1
LN19530Z,4,yes,6,5,1
LN19530Z,5,yes,6,6,1
LN19530Z,6,yes,6,6,1
LN19530Z,7,no,7,7,1
LN19530Z,8,yes,8,7,1
LN19530Z,9,yes,8,8,1
LP4CNHKP,1,yes,8,9,1
LP4CNHKP,2,yes,6,8,1
LP4CNHKP,3,no,4,7,1
LP4CNHKP,4,no,4,7,1
LP4CNHKP,5,yes,9,9,1
LP4CNHKP,6,no,5,9,1
LP4CNHKP,7,no,4,7,1
LP4CNHKP,8,no,4,7,1
LP4CNHKP,9,no,4,7,1
LQVXQAWJ,1,no,6,4,1
LQVXQAWJ,2,no,6,4,1
LQVXQAWJ,3,no,7,6,1
LQVXQAWJ,4,no,7,6,1
LQVXQAWJ,5,yes,8,8,1
LQVXQAWJ,6,no,6,4,1
LQVXQAWJ,7,no,8,8,1
LQVXQAWJ,8,no,8,8,1
LQVXQAWJ,9,no,8,8,1
LRPGBCL8,1,yes,8,9,1
LRPGBCL8,2,no,7,9,1
LRPGBCL8,3,yes,5,7,1
LRPGBCL8,4,no,8,7,1
LRPGBCL8,5,yes,9,10,1
LRPGBCL8,6,yes,8,9,1
LRPGBCL8,7,no,8,7,1
LRPGBCL8,8,no,8,7,1
LRPGBCL8,9,no,8,9,1
M389NE8N,1,no,4,5,1
M389NE8N,2,no,4,5,1
M389NE8N,3,no,4,5,1
M389NE8N,4,no,4,5,1
M389NE8N,5,no,4,4,1
M389NE8N,6,no,4,4,1
M389NE8N,7,no,4,5,1
M389NE8N,8,no,4,4,1
M389NE8N,9,no,4,4,1
M6N6C2DK,1,no,7,4,1
M6N6C2DK,2,no,8,7,1
M6N6C2DK,3,no,7,5,1
M6N6C2DK,4,no,4,3,1
M6N6C2DK,5,yes,9,9,1
M6N6C2DK,6,no,7,7,1
M6N6C2DK,7,no,8,8,1
M6N6C2DK,8,no,8,7,1
M6N6C2DK,9,no,6,5,1
MWJ5YOGF,1,yes,8,9,1
MWJ5YOGF,2,no,7,9,1
MWJ5YOGF,3,yes,5,7,1
MWJ5YOGF,4,no,8,7,1
MWJ5YOGF,5,yes,9,10,1
MWJ5YOGF,6,yes,8,9,1
MWJ5YOGF,7,no,8,7,1
MWJ5YOGF,8,no,8,7,1
MWJ5YOGF,9,no,8,9,1
O6NVI5GD,1,no,2,3,1
O6NVI5GD,2,no,2,3,1
O6NVI5GD,3,no,3,4,1
O6NVI5GD,4,no,4,5,1
O6NVI5GD,5,yes,8,9,1
O6NVI5GD,6,no,5,6,1
O6NVI5GD,7,no,8,9,1
O6NVI5GD,8,no,6,7,1
O6NVI5GD,9,no,5,6,1
OICJDPWE,1,no,8,5,1
OICJDPWE,2,no,8,5,1
OICJDPWE,3,no,8,6,1
OICJDPWE,4,no,8,6,1
OICJDPWE,5,yes,8,8,1
OICJDPWE,6,no,8,5,1
OICJDPWE,7,no,8,8,1
OICJDPWE,8,no,8,8,1
OICJDPWE,9,no,8,8,1
P6AOX4VW,1,yes,6,5,1
P6AOX4VW,2,no,8,7,1
P6AOX4VW,3,yes,8,7,1
P6AOX4VW,4,yes,7,6,1
P6AOX4VW,5,yes,9,8,1
P6AOX4VW,6,no,7,6,1
P6AOX4VW,7,no,8,7,1
P6AOX4VW,8,no,8,7,1
P6AOX4VW,9,no,7,6,1
PKLOP81E,1,no,9,8,1
PKLOP81E,2,no,8,7,1
PKLOP81E,3,no,9,9,1
PKLOP81E,4,no,7,5,1
PKLOP81E,5,yes,9,9,1
PKLOP81E,6,no,7,5,1
PKLOP81E,7,no,9,9,1
PKLOP81E,8,no,9,9,1
PKLOP81E,9,no,9,9,1
Q22T213X,1,no,4,4,1
Q22T213X,2,no,6,5,1
Q22T213X,3,no,7,7,1
Q22T213X,4,no,7,7,1
Q22T213X,5,no,7,5,1
Q22T213X,6,yes,7,6,1
Q22T213X,7,no,6,8,1
Q22T213X,8,no,8,8,1
Q22T213X,9,no,4,4,1
QW96KSO3,1,yes,8,7,1
QW96KSO3,2,no,9,8,1
QW96KSO3,3,yes,6,3,1
QW96KSO3,4,no,6,3,1
QW96KSO3,5,yes,10,10,1
QW96KSO3,6,yes,9,9,1
QW96KSO3,7,no,7,7,1
QW96KSO3,8,no,8,8,1
QW96KSO3,9,no,10,8,1
R52UWQ99,1,yes,9,9,1
R52UWQ99,2,no,8,8,1
R52UWQ99,3,yes,5,4,1
R52UWQ99,4,no,8,7,1
R52UWQ99,5,yes,9,9,1
R52UWQ99,6,no,8,9,1
R52UWQ99,7,no,9,8,1
R52UWQ99,8,no,9,8,1
R52UWQ99,9,no,5,8,1
RCO4BDT4,1,no,8,5,1
RCO4BDT4,2,no,8,5,1
RCO4BDT4,3,no,8,5,1
RCO4BDT4,4,no,8,5,1
RCO4BDT4,5,no,8,5,1
RCO4BDT4,6,no,8,5,1
RCO4BDT4,7,no,8,5,1
RCO4BDT4,8,no,8,5,1
RCO4BDT4,9,no,8,5,1
SGHP5NOH,1,no,4,6,1
SGHP5NOH,2,no,7,7,1
SGHP5NOH,3,no,7,7,1
SGHP5NOH,4,yes,6,5,1
SGHP5NOH,5,yes,8,8,1
SGHP5NOH,6,no,5,6,1
SGHP5NOH,7,no,8,5,1
SGHP5NOH,8,no,7,6,1
SGHP5NOH,9,no,1,2,1
SI0E2ZWJ,1,yes,4,8,1
SI0E2ZWJ,2,no,7,7,1
SI0E2ZWJ,3,no,5,3,1
SI0E2ZWJ,4,no,5,4,1
SI0E2ZWJ,5,yes,9,9,1
SI0E2ZWJ,6,no,5,4,1
SI0E2ZWJ,7,no,8,8,1
SI0E2ZWJ,8,no,9,8,1
SI0E2ZWJ,9,no,8,7,1
SSO51XBQ,1,no,4,4,1
SSO51XBQ,2,no,5,5,1
SSO51XBQ,3,yes,8,7,1
SSO51XBQ,4,yes,9,8,1
SSO51XBQ,5,yes,9,8,1
SSO51XBQ,6,yes,9,7,1
SSO51XBQ,7,no,6,5,1
SSO51XBQ,8,no,8,6,1
SSO51XBQ,9,no,8,7,1
SYECG1J5,1,no,6,6,1
SYECG1J5,2,no,6,6,1
SYECG1J5,3,no,8,8,1
SYECG1J5,4,no,8,8,1
SYECG1J5,5,no,5,5,1
SYECG1J5,6,no,5,5,1
SYECG1J5,7,no,8,8,1
SYECG1J5,8,no,8,8,1
SYECG1J5,9,no,7,8,1
TEPVJ3NH,1,no,8,3,1
TEPVJ3NH,2,no,8,5,1
TEPVJ3NH,3,no,8,3,1
TEPVJ3NH,4,yes,8,7,1
TEPVJ3NH,5,yes,8,7,1
TEPVJ3NH,6,yes,8,7,1
TEPVJ3NH,7,no,8,5,1
TEPVJ3NH,8,no,8,5,1
TEPVJ3NH,9,no,8,5,1
TNY0I90N,1,yes,7,8,1
TNY0I90N,2,no,9,8,1
TNY0I90N,3,yes,6,5,1
TNY0I90N,4,no,6,5,1
TNY0I90N,5,yes,8,8,1
TNY0I90N,6,yes,7,5,1
TNY0I90N,7,no,7,5,1
TNY0I90N,8,yes,6,5,1
TNY0I90N,9,yes,9,8,1
TR9240RA,1,yes,8,9,1
TR9240RA,2,no,7,7,1
TR9240RA,3,no,6,5,1
TR9240RA,4,no,6,5,1
TR9240RA,5,yes,8,9,1
TR9240RA,6,no,7,7,1
TR9240RA,7,no,8,8,1
TR9240RA,8,no,6,5,1
TR9240RA,9,no,6,4,1
U93VJXEP,1,no,5,5,1
U93VJXEP,2,no,9,5,1
U93VJXEP,3,no,5,5,1
U93VJXEP,4,no,8,5,1
U93VJXEP,5,yes,8,7,1
U93VJXEP,6,no,6,5,1
U93VJXEP,7,no,8,5,1
U93VJXEP,8,no,8,5,1
U93VJXEP,9,no,8,5,1
UI5OSPP3,1,no,7,9,1
UI5OSPP3,2,no,7,8,1
UI5OSPP3,3,no,8,8,1
UI5OSPP3,4,no,8,8,1
UI5OSPP3,5,yes,8,8,1
UI5OSPP3,6,no,7,8,1
UI5OSPP3,7,no,10,10,1
UI5OSPP3,8,no,10,10,1
UI5OSPP3,9,no,9,8,1
V1F8P236,1,yes,3,2,1
V1F8P236,2,no,5,5,1
V1F8P236,3,yes,7,6,1
V1F8P236,4,yes,7,9,1
V1F8P236,5,yes,4,5,1
V1F8P236,6,yes,4,5,1
V1F8P236,7,no,6,6,1
V1F8P236,8,no,6,6,1
V1F8P236,9,no,7,7,1
VK9IQ0M8,1,yes,4,8,1
VK9IQ0M8,2,no,7,7,1
VK9IQ0M8,3,no,5,3,1
VK9IQ0M8,4,no,5,4,1
VK9IQ0M8,5,yes,9,9,1
VK9IQ0M8,6,no,5,4,1
VK9IQ0M8,7,no,8,8,1
VK9IQ0M8,8,no,9,8,1
VK9IQ0M8,9,no,8,7,1
VSNS90C6,1,no,6,3,1
VSNS90C6,2,no,7,6,1
VSNS90C6,3,no,8,6,1
VSNS90C6,4,no,5,3,1
VSNS90C6,5,yes,9,10,1
VSNS90C6,6,no,6,3,1
VSNS90C6,7,no,9,10,1
VSNS90C6,8,no,9,10,1
VSNS90C6,9,no,9,10,1
VT6XJXXN,1,no,6,4,1
VT6XJXXN,2,no,6,4,1
VT6XJXXN,3,no,7,6,1
VT6XJXXN,4,no,7,6,1
VT6XJXXN,5,yes,8,8,1
VT6XJXXN,6,no,6,4,1
VT6XJXXN,7,no,8,8,1
VT6XJXXN,8,no,8,8,1
VT6XJXXN,9,no,8,8,1
VUX5MZZI,1,yes,10,9,1
VUX5MZZI,2,no,10,7,1
VUX5MZZI,3,yes,10,7,1
